cod;nome;período;ipeahomicidio-de-jovens-por-armas-de-fogo;ipeahomicidios-de-homens-por-armas-de-fogo;ipeahomicidios-de-jovens-homens;ipeahomicidios-de-jovens-mulheres;ipeahomicidios-de-jovens;ipeahomicidios-de-mulheres-por-armas-de-fogo;ipeahomicidios-homens-nao-negros;ipeahomicidios-homens-negros;ipeahomicidios-homens;ipeahomicidios-mulheres-nao-negras;ipeahomicidios-mulheres-negras;ipeahomicidios-mulheres;ipeahomicidios-nao-negros;ipeahomicidios-negros;ipeahomicidios-por-armas-de-fogo;ipeahomicidios
24;RN;1999;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224;224
23;CE;1999;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104
22;PI;1999;133;133;133;133;133;133;133;133;133;133;133;133;133;133;133;133
21;MA;1999;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262
17;TO;1999;137;137;137;137;137;137;137;137;137;137;137;137;137;137;137;137
16;AP;1999;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192
15;PA;1999;642;642;642;642;642;642;642;642;642;642;642;642;642;642;642;642
14;RR;1999;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154;154
12;AC;1999;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
29;BA;2000;1242;1242;1242;1242;1242;1242;1242;1242;1242;1242;1242;1242;1242;1242;1242;1242
53;DF;2000;687;687;687;687;687;687;687;687;687;687;687;687;687;687;687;687
52;GO;2000;1085;1085;1085;1085;1085;1085;1085;1085;1085;1085;1085;1085;1085;1085;1085;1085
51;MT;2000;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990
50;MS;2000;651;651;651;651;651;651;651;651;651;651;651;651;651;651;651;651
43;RS;2000;1668;1668;1668;1668;1668;1668;1668;1668;1668;1668;1668;1668;1668;1668;1668;1668
42;SC;2000;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433
41;PR;2000;1789;1789;1789;1789;1789;1789;1789;1789;1789;1789;1789;1789;1789;1789;1789;1789
35;SP;2000;15591;15591;15591;15591;15591;15591;15591;15591;15591;15591;15591;15591;15591;15591;15591;15591
33;RJ;2000;7350;7350;7350;7350;7350;7350;7350;7350;7350;7350;7350;7350;7350;7350;7350;7350
32;ES;2000;1435;1435;1435;1435;1435;1435;1435;1435;1435;1435;1435;1435;1435;1435;1435;1435
31;MG;2000;2109;2109;2109;2109;2109;2109;2109;2109;2109;2109;2109;2109;2109;2109;2109;2109
28;SE;2000;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410;410
27;AL;2000;727;727;727;727;727;727;727;727;727;727;727;727;727;727;727;727
26;PE;2000;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290;4290
25;PB;2000;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507;507
24;RN;2000;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257
23;CE;2000;1238;1238;1238;1238;1238;1238;1238;1238;1238;1238;1238;1238;1238;1238;1238;1238
22;PI;2000;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230
21;MA;2000;352;352;352;352;352;352;352;352;352;352;352;352;352;352;352;352
17;TO;2000;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176;176
16;AP;2000;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156
15;PA;2000;806;806;806;806;806;806;806;806;806;806;806;806;806;806;806;806
14;RR;2000;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130
13;AM;2000;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552
12;AC;2000;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106
11;RO;2000;466;466;466;466;466;466;466;466;466;466;466;466;466;466;466;466
12;AC;2001;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121
53;DF;2001;693;693;693;693;693;693;693;693;693;693;693;693;693;693;693;693
52;GO;2001;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167
51;MT;2001;973;973;973;973;973;973;973;973;973;973;973;973;973;973;973;973
50;MS;2001;621;621;621;621;621;621;621;621;621;621;621;621;621;621;621;621
43;RS;2001;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854;1854
42;SC;2001;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477;477
41;PR;2001;2052;2052;2052;2052;2052;2052;2052;2052;2052;2052;2052;2052;2052;2052;2052;2052
35;SP;2001;15773;15773;15773;15773;15773;15773;15773;15773;15773;15773;15773;15773;15773;15773;15773;15773
33;RJ;2001;7362;7362;7362;7362;7362;7362;7362;7362;7362;7362;7362;7362;7362;7362;7362;7362
32;ES;2001;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452;1452
31;MG;2001;2366;2366;2366;2366;2366;2366;2366;2366;2366;2366;2366;2366;2366;2366;2366;2366
11;RO;2001;573;573;573;573;573;573;573;573;573;573;573;573;573;573;573;573
29;BA;2001;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622;1622
28;SE;2001;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518;518
27;AL;2001;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830
26;PE;2001;4710;4710;4710;4710;4710;4710;4710;4710;4710;4710;4710;4710;4710;4710;4710;4710
25;PB;2001;484;484;484;484;484;484;484;484;484;484;484;484;484;484;484;484
24;RN;2001;322;322;322;322;322;322;322;322;322;322;322;322;322;322;322;322
23;CE;2001;1284;1284;1284;1284;1284;1284;1284;1284;1284;1284;1284;1284;1284;1284;1284;1284
22;PI;2001;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262
21;MA;2001;563;563;563;563;563;563;563;563;563;563;563;563;563;563;563;563
17;TO;2001;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212
16;AP;2001;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182
15;PA;2001;966;966;966;966;966;966;966;966;966;966;966;966;966;966;966;966
14;RR;2001;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108;108
13;AM;2001;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485
12;AC;2002;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151
53;DF;2002;641;641;641;641;641;641;641;641;641;641;641;641;641;641;641;641
52;GO;2002;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370
51;MT;2002;948;948;948;948;948;948;948;948;948;948;948;948;948;948;948;948
50;MS;2002;684;684;684;684;684;684;684;684;684;684;684;684;684;684;684;684
43;RS;2002;1912;1912;1912;1912;1912;1912;1912;1912;1912;1912;1912;1912;1912;1912;1912;1912
42;SC;2002;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585
41;PR;2002;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266
35;SP;2002;14526;14526;14526;14526;14526;14526;14526;14526;14526;14526;14526;14526;14526;14526;14526;14526
33;RJ;2002;8335;8335;8335;8335;8335;8335;8335;8335;8335;8335;8335;8335;8335;8335;8335;8335
32;ES;2002;1644;1644;1644;1644;1644;1644;1644;1644;1644;1644;1644;1644;1644;1644;1644;1644
31;MG;2002;2994;2994;2994;2994;2994;2994;2994;2994;2994;2994;2994;2994;2994;2994;2994;2994
29;BA;2002;1759;1759;1759;1759;1759;1759;1759;1759;1759;1759;1759;1759;1759;1759;1759;1759
28;SE;2002;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556
27;AL;2002;991;991;991;991;991;991;991;991;991;991;991;991;991;991;991;991
26;PE;2002;4396;4396;4396;4396;4396;4396;4396;4396;4396;4396;4396;4396;4396;4396;4396;4396
25;PB;2002;607;607;607;607;607;607;607;607;607;607;607;607;607;607;607;607
24;RN;2002;299;299;299;299;299;299;299;299;299;299;299;299;299;299;299;299
23;CE;2002;1445;1445;1445;1445;1445;1445;1445;1445;1445;1445;1445;1445;1445;1445;1445;1445
22;PI;2002;308;308;308;308;308;308;308;308;308;308;308;308;308;308;308;308
21;MA;2002;606;606;606;606;606;606;606;606;606;606;606;606;606;606;606;606
17;TO;2002;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170;170
16;AP;2002;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181
15;PA;2002;1192;1192;1192;1192;1192;1192;1192;1192;1192;1192;1192;1192;1192;1192;1192;1192
14;RR;2002;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122
13;AM;2002;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513;513
11;RO;2002;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615
11;RO;2003;566;566;566;566;566;566;566;566;566;566;566;566;566;566;566;566
53;DF;2003;742;742;742;742;742;742;742;742;742;742;742;742;742;742;742;742
52;GO;2003;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346;1346
51;MT;2003;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908
50;MS;2003;705;705;705;705;705;705;705;705;705;705;705;705;705;705;705;705
43;RS;2003;1908;1908;1908;1908;1908;1908;1908;1908;1908;1908;1908;1908;1908;1908;1908;1908
42;SC;2003;670;670;670;670;670;670;670;670;670;670;670;670;670;670;670;670
41;PR;2003;2555;2555;2555;2555;2555;2555;2555;2555;2555;2555;2555;2555;2555;2555;2555;2555
35;SP;2003;14048;14048;14048;14048;14048;14048;14048;14048;14048;14048;14048;14048;14048;14048;14048;14048
33;RJ;2003;8115;8115;8115;8115;8115;8115;8115;8115;8115;8115;8115;8115;8115;8115;8115;8115
32;ES;2003;1629;1629;1629;1629;1629;1629;1629;1629;1629;1629;1629;1629;1629;1629;1629;1629
31;MG;2003;3869;3869;3869;3869;3869;3869;3869;3869;3869;3869;3869;3869;3869;3869;3869;3869
29;BA;2003;2166;2166;2166;2166;2166;2166;2166;2166;2166;2166;2166;2166;2166;2166;2166;2166
28;SE;2003;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469;469
27;AL;2003;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039
26;PE;2003;4517;4517;4517;4517;4517;4517;4517;4517;4517;4517;4517;4517;4517;4517;4517;4517
25;PB;2003;616;616;616;616;616;616;616;616;616;616;616;616;616;616;616;616
24;RN;2003;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405
23;CE;2003;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563
22;PI;2003;298;298;298;298;298;298;298;298;298;298;298;298;298;298;298;298
21;MA;2003;795;795;795;795;795;795;795;795;795;795;795;795;795;795;795;795
17;TO;2003;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204
16;AP;2003;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185;185
15;PA;2003;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405;1405
14;RR;2003;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106
13;AM;2003;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558
12;AC;2003;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147
12;AC;2004;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
11;RO;2004;563;563;563;563;563;563;563;563;563;563;563;563;563;563;563;563
53;DF;2004;696;696;696;696;696;696;696;696;696;696;696;696;696;696;696;696
52;GO;2004;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524;1524
51;MT;2004;853;853;853;853;853;853;853;853;853;853;853;853;853;853;853;853
50;MS;2004;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656
43;RS;2004;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982;1982
42;SC;2004;638;638;638;638;638;638;638;638;638;638;638;638;638;638;638;638
41;PR;2004;2826;2826;2826;2826;2826;2826;2826;2826;2826;2826;2826;2826;2826;2826;2826;2826
35;SP;2004;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336
33;RJ;2004;7731;7731;7731;7731;7731;7731;7731;7731;7731;7731;7731;7731;7731;7731;7731;7731
32;ES;2004;1619;1619;1619;1619;1619;1619;1619;1619;1619;1619;1619;1619;1619;1619;1619;1619
31;MG;2004;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286;4286
29;BA;2004;2262;2262;2262;2262;2262;2262;2262;2262;2262;2262;2262;2262;2262;2262;2262;2262
28;SE;2004;454;454;454;454;454;454;454;454;454;454;454;454;454;454;454;454
27;AL;2004;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035;1035
26;PE;2004;4174;4174;4174;4174;4174;4174;4174;4174;4174;4174;4174;4174;4174;4174;4174;4174
25;PB;2004;675;675;675;675;675;675;675;675;675;675;675;675;675;675;675;675
24;RN;2004;344;344;344;344;344;344;344;344;344;344;344;344;344;344;344;344
23;CE;2004;1582;1582;1582;1582;1582;1582;1582;1582;1582;1582;1582;1582;1582;1582;1582;1582
22;PI;2004;327;327;327;327;327;327;327;327;327;327;327;327;327;327;327;327
21;MA;2004;732;732;732;732;732;732;732;732;732;732;732;732;732;732;732;732
17;TO;2004;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198
16;AP;2004;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172
15;PA;2004;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519
14;RR;2004;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85
13;AM;2004;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526
35;SP;2005;8870;8870;8870;8870;8870;8870;8870;8870;8870;8870;8870;8870;8870;8870;8870;8870
33;RJ;2005;7408;7408;7408;7408;7408;7408;7408;7408;7408;7408;7408;7408;7408;7408;7408;7408
32;ES;2005;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602
31;MG;2005;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223;4223
29;BA;2005;2881;2881;2881;2881;2881;2881;2881;2881;2881;2881;2881;2881;2881;2881;2881;2881
28;SE;2005;487;487;487;487;487;487;487;487;487;487;487;487;487;487;487;487
27;AL;2005;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203;1203
26;PE;2005;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330;4330
25;PB;2005;745;745;745;745;745;745;745;745;745;745;745;745;745;745;745;745
24;RN;2005;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406;406
23;CE;2005;1699;1699;1699;1699;1699;1699;1699;1699;1699;1699;1699;1699;1699;1699;1699;1699
22;PI;2005;368;368;368;368;368;368;368;368;368;368;368;368;368;368;368;368
21;MA;2005;935;935;935;935;935;935;935;935;935;935;935;935;935;935;935;935
17;TO;2005;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190
16;AP;2005;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196
15;PA;2005;1926;1926;1926;1926;1926;1926;1926;1926;1926;1926;1926;1926;1926;1926;1926;1926
14;RR;2005;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95
13;AM;2005;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599;599
12;AC;2005;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124
11;RO;2005;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555
53;DF;2005;657;657;657;657;657;657;657;657;657;657;657;657;657;657;657;657
52;GO;2005;1468;1468;1468;1468;1468;1468;1468;1468;1468;1468;1468;1468;1468;1468;1468;1468
51;MT;2005;907;907;907;907;907;907;907;907;907;907;907;907;907;907;907;907
50;MS;2005;631;631;631;631;631;631;631;631;631;631;631;631;631;631;631;631
43;RS;2005;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021
42;SC;2005;633;633;633;633;633;633;633;633;633;633;633;633;633;633;633;633
41;PR;2005;2977;2977;2977;2977;2977;2977;2977;2977;2977;2977;2977;2977;2977;2977;2977;2977
12;AC;2006;158;158;158;158;158;158;158;158;158;158;158;158;158;158;158;158
13;AM;2006;699;699;699;699;699;699;699;699;699;699;699;699;699;699;699;699
14;RR;2006;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111
15;PA;2006;2073;2073;2073;2073;2073;2073;2073;2073;2073;2073;2073;2073;2073;2073;2073;2073
16;AP;2006;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202;202
17;TO;2006;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229;229
21;MA;2006;969;969;969;969;969;969;969;969;969;969;969;969;969;969;969;969
22;PI;2006;418;418;418;418;418;418;418;418;418;418;418;418;418;418;418;418
23;CE;2006;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792
24;RN;2006;455;455;455;455;455;455;455;455;455;455;455;455;455;455;455;455
25;PB;2006;825;825;825;825;825;825;825;825;825;825;825;825;825;825;825;825
26;PE;2006;4472;4472;4472;4472;4472;4472;4472;4472;4472;4472;4472;4472;4472;4472;4472;4472
27;AL;2006;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620;1620
28;SE;2006;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585
29;BA;2006;3311;3311;3311;3311;3311;3311;3311;3311;3311;3311;3311;3311;3311;3311;3311;3311
31;MG;2006;4177;4177;4177;4177;4177;4177;4177;4177;4177;4177;4177;4177;4177;4177;4177;4177
32;ES;2006;1762;1762;1762;1762;1762;1762;1762;1762;1762;1762;1762;1762;1762;1762;1762;1762
33;RJ;2006;7389;7389;7389;7389;7389;7389;7389;7389;7389;7389;7389;7389;7389;7389;7389;7389
35;SP;2006;8377;8377;8377;8377;8377;8377;8377;8377;8377;8377;8377;8377;8377;8377;8377;8377
41;PR;2006;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098;3098
53;DF;2006;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660
52;GO;2006;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509;1509
51;MT;2006;896;896;896;896;896;896;896;896;896;896;896;896;896;896;896;896
50;MS;2006;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683;683
43;RS;2006;1983;1983;1983;1983;1983;1983;1983;1983;1983;1983;1983;1983;1983;1983;1983;1983
42;SC;2006;666;666;666;666;666;666;666;666;666;666;666;666;666;666;666;666
11;RO;2006;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585
12;AC;2007;137;137;137;137;137;137;137;137;137;137;137;137;137;137;137;137
13;AM;2007;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715;715
14;RR;2007;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116
15;PA;2007;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194
16;AP;2007;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172
17;TO;2007;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226
21;MA;2007;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127
22;PI;2007;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383
23;CE;2007;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933
24;RN;2007;589;589;589;589;589;589;589;589;589;589;589;589;589;589;589;589
25;PB;2007;864;864;864;864;864;864;864;864;864;864;864;864;864;864;864;864
26;PE;2007;4557;4557;4557;4557;4557;4557;4557;4557;4557;4557;4557;4557;4557;4557;4557;4557
27;AL;2007;1836;1836;1836;1836;1836;1836;1836;1836;1836;1836;1836;1836;1836;1836;1836;1836
28;SE;2007;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522
29;BA;2007;3659;3659;3659;3659;3659;3659;3659;3659;3659;3659;3659;3659;3659;3659;3659;3659
31;MG;2007;4125;4125;4125;4125;4125;4125;4125;4125;4125;4125;4125;4125;4125;4125;4125;4125
32;ES;2007;1877;1877;1877;1877;1877;1877;1877;1877;1877;1877;1877;1877;1877;1877;1877;1877
33;RJ;2007;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551;6551
35;SP;2007;6437;6437;6437;6437;6437;6437;6437;6437;6437;6437;6437;6437;6437;6437;6437;6437
41;PR;2007;3105;3105;3105;3105;3105;3105;3105;3105;3105;3105;3105;3105;3105;3105;3105;3105
42;SC;2007;632;632;632;632;632;632;632;632;632;632;632;632;632;632;632;632
43;RS;2007;2199;2199;2199;2199;2199;2199;2199;2199;2199;2199;2199;2199;2199;2199;2199;2199
50;MS;2007;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710
51;MT;2007;889;889;889;889;889;889;889;889;889;889;889;889;889;889;889;889
52;GO;2007;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521;1521
53;DF;2007;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711;711
11;RO;2007;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432;432
17;TO;2008;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237;237
22;PI;2008;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361
23;CE;2008;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019
24;RN;2008;714;714;714;714;714;714;714;714;714;714;714;714;714;714;714;714
25;PB;2008;1029;1029;1029;1029;1029;1029;1029;1029;1029;1029;1029;1029;1029;1029;1029;1029
26;PE;2008;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446
27;AL;2008;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887
28;SE;2008;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555
29;BA;2008;4819;4819;4819;4819;4819;4819;4819;4819;4819;4819;4819;4819;4819;4819;4819;4819
31;MG;2008;3889;3889;3889;3889;3889;3889;3889;3889;3889;3889;3889;3889;3889;3889;3889;3889
32;ES;2008;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947;1947
33;RJ;2008;5662;5662;5662;5662;5662;5662;5662;5662;5662;5662;5662;5662;5662;5662;5662;5662
35;SP;2008;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332
41;PR;2008;3445;3445;3445;3445;3445;3445;3445;3445;3445;3445;3445;3445;3445;3445;3445;3445
42;SC;2008;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802;802
43;RS;2008;2380;2380;2380;2380;2380;2380;2380;2380;2380;2380;2380;2380;2380;2380;2380;2380
50;MS;2008;699;699;699;699;699;699;699;699;699;699;699;699;699;699;699;699
51;MT;2008;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937;937
52;GO;2008;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792
53;DF;2008;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812;812
11;RO;2008;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480
12;AC;2008;133;133;133;133;133;133;133;133;133;133;133;133;133;133;133;133
13;AM;2008;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830;830
14;RR;2008;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105
15;PA;2008;2860;2860;2860;2860;2860;2860;2860;2860;2860;2860;2860;2860;2860;2860;2860;2860
16;AP;2008;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210
21;MA;2008;1277;1277;1277;1277;1277;1277;1277;1277;1277;1277;1277;1277;1277;1277;1277;1277
16;AP;2009;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190
22;PI;2009;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385
23;CE;2009;2165;2165;2165;2165;2165;2165;2165;2165;2165;2165;2165;2165;2165;2165;2165;2165
24;RN;2009;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800
25;PB;2009;1263;1263;1263;1263;1263;1263;1263;1263;1263;1263;1263;1263;1263;1263;1263;1263
26;PE;2009;3963;3963;3963;3963;3963;3963;3963;3963;3963;3963;3963;3963;3963;3963;3963;3963
27;AL;2009;1873;1873;1873;1873;1873;1873;1873;1873;1873;1873;1873;1873;1873;1873;1873;1873
28;SE;2009;653;653;653;653;653;653;653;653;653;653;653;653;653;653;653;653
29;BA;2009;5432;5432;5432;5432;5432;5432;5432;5432;5432;5432;5432;5432;5432;5432;5432;5432
31;MG;2009;3742;3742;3742;3742;3742;3742;3742;3742;3742;3742;3742;3742;3742;3742;3742;3742
32;ES;2009;1985;1985;1985;1985;1985;1985;1985;1985;1985;1985;1985;1985;1985;1985;1985;1985
33;RJ;2009;5365;5365;5365;5365;5365;5365;5365;5365;5365;5365;5365;5365;5365;5365;5365;5365
35;SP;2009;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557;6557
41;PR;2009;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698;3698
42;SC;2009;820;820;820;820;820;820;820;820;820;820;820;820;820;820;820;820
43;RS;2009;2242;2242;2242;2242;2242;2242;2242;2242;2242;2242;2242;2242;2242;2242;2242;2242
50;MS;2009;725;725;725;725;725;725;725;725;725;725;725;725;725;725;725;725
51;MT;2009;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
52;GO;2009;1902;1902;1902;1902;1902;1902;1902;1902;1902;1902;1902;1902;1902;1902;1902;1902
53;DF;2009;882;882;882;882;882;882;882;882;882;882;882;882;882;882;882;882
17;TO;2009;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289;289
15;PA;2009;2989;2989;2989;2989;2989;2989;2989;2989;2989;2989;2989;2989;2989;2989;2989;2989
14;RR;2009;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118
13;AM;2009;916;916;916;916;916;916;916;916;916;916;916;916;916;916;916;916
12;AC;2009;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153;153
11;RO;2009;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538
21;MA;2009;1398;1398;1398;1398;1398;1398;1398;1398;1398;1398;1398;1398;1398;1398;1398;1398
32;ES;2010;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792;1792
35;SP;2010;6039;6039;6039;6039;6039;6039;6039;6039;6039;6039;6039;6039;6039;6039;6039;6039
41;PR;2010;3586;3586;3586;3586;3586;3586;3586;3586;3586;3586;3586;3586;3586;3586;3586;3586
42;SC;2010;823;823;823;823;823;823;823;823;823;823;823;823;823;823;823;823
43;RS;2010;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085;2085
50;MS;2010;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656
16;AP;2010;260;260;260;260;260;260;260;260;260;260;260;260;260;260;260;260
51;MT;2010;972;972;972;972;972;972;972;972;972;972;972;972;972;972;972;972
52;GO;2010;1979;1979;1979;1979;1979;1979;1979;1979;1979;1979;1979;1979;1979;1979;1979;1979
53;DF;2010;786;786;786;786;786;786;786;786;786;786;786;786;786;786;786;786
17;TO;2010;327;327;327;327;327;327;327;327;327;327;327;327;327;327;327;327
21;MA;2010;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519;1519
