cod;nome;período;ipeahomicidio-de-jovens-por-armas-de-fogo;ipeahomicidios-de-homens-por-armas-de-fogo;ipeahomicidios-de-jovens-homens;ipeahomicidios-de-jovens-mulheres;ipeahomicidios-de-jovens;ipeahomicidios-de-mulheres-por-armas-de-fogo;ipeahomicidios-homens-nao-negros;ipeahomicidios-homens-negros;ipeahomicidios-homens;ipeahomicidios-mulheres-nao-negras;ipeahomicidios-mulheres-negras;ipeahomicidios-mulheres;ipeahomicidios-nao-negros;ipeahomicidios-negros;ipeahomicidios-por-armas-de-fogo;ipeahomicidios
26;PE;1991;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944;2944
27;AL;1991;665;665;665;665;665;665;665;665;665;665;665;665;665;665;665;665
28;SE;1991;317;317;317;317;317;317;317;317;317;317;317;317;317;317;317;317
29;BA;1991;596;596;596;596;596;596;596;596;596;596;596;596;596;596;596;596
31;MG;1991;1232;1232;1232;1232;1232;1232;1232;1232;1232;1232;1232;1232;1232;1232;1232;1232
32;ES;1991;968;968;968;968;968;968;968;968;968;968;968;968;968;968;968;968
33;RJ;1991;5055;5055;5055;5055;5055;5055;5055;5055;5055;5055;5055;5055;5055;5055;5055;5055
35;SP;1991;9685;9685;9685;9685;9685;9685;9685;9685;9685;9685;9685;9685;9685;9685;9685;9685
41;PR;1991;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225
42;SC;1991;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355
53;DF;1991;489;489;489;489;489;489;489;489;489;489;489;489;489;489;489;489
43;RS;1991;1694;1694;1694;1694;1694;1694;1694;1694;1694;1694;1694;1694;1694;1694;1694;1694
50;MS;1991;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388;388
51;MT;1991;452;452;452;452;452;452;452;452;452;452;452;452;452;452;452;452
26;PE;1992;2531;2531;2531;2531;2531;2531;2531;2531;2531;2531;2531;2531;2531;2531;2531;2531
11;RO;1992;395;395;395;395;395;395;395;395;395;395;395;395;395;395;395;395
12;AC;1992;107;107;107;107;107;107;107;107;107;107;107;107;107;107;107;107
13;AM;1992;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351;351
14;RR;1992;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95
15;PA;1992;759;759;759;759;759;759;759;759;759;759;759;759;759;759;759;759
16;AP;1992;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
17;TO;1992;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67
21;MA;1992;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427;427
22;PI;1992;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92
23;CE;1992;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537
24;RN;1992;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
25;PB;1992;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355
27;AL;1992;591;591;591;591;591;591;591;591;591;591;591;591;591;591;591;591
28;SE;1992;461;461;461;461;461;461;461;461;461;461;461;461;461;461;461;461
29;BA;1992;840;840;840;840;840;840;840;840;840;840;840;840;840;840;840;840
31;MG;1992;1131;1131;1131;1131;1131;1131;1131;1131;1131;1131;1131;1131;1131;1131;1131;1131
32;ES;1992;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839
33;RJ;1992;4536;4536;4536;4536;4536;4536;4536;4536;4536;4536;4536;4536;4536;4536;4536;4536
35;SP;1992;9116;9116;9116;9116;9116;9116;9116;9116;9116;9116;9116;9116;9116;9116;9116;9116
41;PR;1992;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092;1092
42;SC;1992;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361
43;RS;1992;1570;1570;1570;1570;1570;1570;1570;1570;1570;1570;1570;1570;1570;1570;1570;1570
50;MS;1992;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423;423
51;MT;1992;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355
52;GO;1992;828;828;828;828;828;828;828;828;828;828;828;828;828;828;828;828
53;DF;1992;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424
53;DF;1993;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553
11;RO;1993;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498;498
12;AC;1993;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116
13;AM;1993;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350;350
14;RR;1993;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69
15;PA;1993;623;623;623;623;623;623;623;623;623;623;623;623;623;623;623;623
16;AP;1993;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66;66
17;TO;1993;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93;93
21;MA;1993;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394;394
22;PI;1993;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117
23;CE;1993;702;702;702;702;702;702;702;702;702;702;702;702;702;702;702;702
24;RN;1993;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243
25;PB;1993;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365
26;PE;1993;2763;2763;2763;2763;2763;2763;2763;2763;2763;2763;2763;2763;2763;2763;2763;2763
27;AL;1993;619;619;619;619;619;619;619;619;619;619;619;619;619;619;619;619
28;SE;1993;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312
29;BA;1993;1503;1503;1503;1503;1503;1503;1503;1503;1503;1503;1503;1503;1503;1503;1503;1503
31;MG;1993;1211;1211;1211;1211;1211;1211;1211;1211;1211;1211;1211;1211;1211;1211;1211;1211
32;ES;1993;1098;1098;1098;1098;1098;1098;1098;1098;1098;1098;1098;1098;1098;1098;1098;1098
33;RJ;1993;5367;5367;5367;5367;5367;5367;5367;5367;5367;5367;5367;5367;5367;5367;5367;5367
35;SP;1993;9224;9224;9224;9224;9224;9224;9224;9224;9224;9224;9224;9224;9224;9224;9224;9224
41;PR;1993;1237;1237;1237;1237;1237;1237;1237;1237;1237;1237;1237;1237;1237;1237;1237;1237
42;SC;1993;371;371;371;371;371;371;371;371;371;371;371;371;371;371;371;371
43;RS;1993;1177;1177;1177;1177;1177;1177;1177;1177;1177;1177;1177;1177;1177;1177;1177;1177
50;MS;1993;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457
51;MT;1993;356;356;356;356;356;356;356;356;356;356;356;356;356;356;356;356
52;GO;1993;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734;734
43;RS;1994;1334;1334;1334;1334;1334;1334;1334;1334;1334;1334;1334;1334;1334;1334;1334;1334
11;RO;1994;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399;399
12;AC;1994;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88
13;AM;1994;387;387;387;387;387;387;387;387;387;387;387;387;387;387;387;387
14;RR;1994;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78
15;PA;1994;716;716;716;716;716;716;716;716;716;716;716;716;716;716;716;716
16;AP;1994;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125
17;TO;1994;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109;109
21;MA;1994;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314;314
22;PI;1994;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
23;CE;1994;636;636;636;636;636;636;636;636;636;636;636;636;636;636;636;636
24;RN;1994;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211
25;PB;1994;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385
26;PE;1994;2593;2593;2593;2593;2593;2593;2593;2593;2593;2593;2593;2593;2593;2593;2593;2593
27;AL;1994;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615
28;SE;1994;344;344;344;344;344;344;344;344;344;344;344;344;344;344;344;344
29;BA;1994;1739;1739;1739;1739;1739;1739;1739;1739;1739;1739;1739;1739;1739;1739;1739;1739
31;MG;1994;1118;1118;1118;1118;1118;1118;1118;1118;1118;1118;1118;1118;1118;1118;1118;1118
32;ES;1994;1166;1166;1166;1166;1166;1166;1166;1166;1166;1166;1166;1166;1166;1166;1166;1166
33;RJ;1994;6420;6420;6420;6420;6420;6420;6420;6420;6420;6420;6420;6420;6420;6420;6420;6420
35;SP;1994;9981;9981;9981;9981;9981;9981;9981;9981;9981;9981;9981;9981;9981;9981;9981;9981
41;PR;1994;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260;1260
42;SC;1994;346;346;346;346;346;346;346;346;346;346;346;346;346;346;346;346
50;MS;1994;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522
51;MT;1994;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316
52;GO;1994;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774;774
53;DF;1994;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556
51;MT;1995;583;583;583;583;583;583;583;583;583;583;583;583;583;583;583;583
11;RO;1995;330;330;330;330;330;330;330;330;330;330;330;330;330;330;330;330
12;AC;1995;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103
13;AM;1995;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425
14;RR;1995;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87
15;PA;1995;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
16;AP;1995;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124
17;TO;1995;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77
21;MA;1995;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385;385
22;PI;1995;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
23;CE;1995;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845
24;RN;1995;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247
25;PB;1995;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457
53;DF;1995;629;629;629;629;629;629;629;629;629;629;629;629;629;629;629;629
26;PE;1995;2706;2706;2706;2706;2706;2706;2706;2706;2706;2706;2706;2706;2706;2706;2706;2706
27;AL;1995;742;742;742;742;742;742;742;742;742;742;742;742;742;742;742;742
28;SE;1995;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255;255
29;BA;1995;1536;1536;1536;1536;1536;1536;1536;1536;1536;1536;1536;1536;1536;1536;1536;1536
31;MG;1995;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214
32;ES;1995;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154;1154
33;RJ;1995;8218;8218;8218;8218;8218;8218;8218;8218;8218;8218;8218;8218;8218;8218;8218;8218
35;SP;1995;11555;11555;11555;11555;11555;11555;11555;11555;11555;11555;11555;11555;11555;11555;11555;11555
41;PR;1995;1387;1387;1387;1387;1387;1387;1387;1387;1387;1387;1387;1387;1387;1387;1387;1387
52;GO;1995;784;784;784;784;784;784;784;784;784;784;784;784;784;784;784;784
42;SC;1995;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420;420
43;RS;1995;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439
50;MS;1995;636;636;636;636;636;636;636;636;636;636;636;636;636;636;636;636
26;PE;1996;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022
11;RO;1996;301;301;301;301;301;301;301;301;301;301;301;301;301;301;301;301
12;AC;1996;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104
13;AM;1996;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450;450
14;RR;1996;107;107;107;107;107;107;107;107;107;107;107;107;107;107;107;107
15;PA;1996;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
16;AP;1996;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157
17;TO;1996;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126
21;MA;1996;363;363;363;363;363;363;363;363;363;363;363;363;363;363;363;363
22;PI;1996;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117
23;CE;1996;885;885;885;885;885;885;885;885;885;885;885;885;885;885;885;885
24;RN;1996;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241
25;PB;1996;636;636;636;636;636;636;636;636;636;636;636;636;636;636;636;636
27;AL;1996;741;741;741;741;741;741;741;741;741;741;741;741;741;741;741;741
28;SE;1996;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238;238
29;BA;1996;1883;1883;1883;1883;1883;1883;1883;1883;1883;1883;1883;1883;1883;1883;1883;1883
31;MG;1996;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261;1261
32;ES;1996;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191;1191
33;RJ;1996;8034;8034;8034;8034;8034;8034;8034;8034;8034;8034;8034;8034;8034;8034;8034;8034
35;SP;1996;12320;12320;12320;12320;12320;12320;12320;12320;12320;12320;12320;12320;12320;12320;12320;12320
41;PR;1996;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379
42;SC;1996;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412;412
43;RS;1996;1482;1482;1482;1482;1482;1482;1482;1482;1482;1482;1482;1482;1482;1482;1482;1482
50;MS;1996;722;722;722;722;722;722;722;722;722;722;722;722;722;722;722;722
51;MT;1996;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660
52;GO;1996;782;782;782;782;782;782;782;782;782;782;782;782;782;782;782;782
53;DF;1996;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615
25;PB;1997;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492;492
11;RO;1997;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355;355
12;AC;1997;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
13;AM;1997;468;468;468;468;468;468;468;468;468;468;468;468;468;468;468;468
14;RR;1997;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90
15;PA;1997;754;754;754;754;754;754;754;754;754;754;754;754;754;754;754;754
16;AP;1997;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140
17;TO;1997;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112
21;MA;1997;333;333;333;333;333;333;333;333;333;333;333;333;333;333;333;333
22;PI;1997;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142
23;CE;1997;1026;1026;1026;1026;1026;1026;1026;1026;1026;1026;1026;1026;1026;1026;1026;1026
24;RN;1997;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235
26;PE;1997;3713;3713;3713;3713;3713;3713;3713;3713;3713;3713;3713;3713;3713;3713;3713;3713
27;AL;1997;642;642;642;642;642;642;642;642;642;642;642;642;642;642;642;642
28;SE;1997;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190
29;BA;1997;1981;1981;1981;1981;1981;1981;1981;1981;1981;1981;1981;1981;1981;1981;1981;1981
31;MG;1997;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347
32;ES;1997;1416;1416;1416;1416;1416;1416;1416;1416;1416;1416;1416;1416;1416;1416;1416;1416
33;RJ;1997;7954;7954;7954;7954;7954;7954;7954;7954;7954;7954;7954;7954;7954;7954;7954;7954
35;SP;1997;12537;12537;12537;12537;12537;12537;12537;12537;12537;12537;12537;12537;12537;12537;12537;12537
41;PR;1997;1581;1581;1581;1581;1581;1581;1581;1581;1581;1581;1581;1581;1581;1581;1581;1581
